"subject_id" "activity_nm" "tBodyAcc.mean...X" "tBodyAcc.mean...Y" "tBodyAcc.mean...Z" "tGravityAcc.mean...X" "tGravityAcc.mean...Y" "tGravityAcc.mean...Z" "tBodyAccJerk.mean...X" "tBodyAccJerk.mean...Y" "tBodyAccJerk.mean...Z" "tBodyGyro.mean...X" "tBodyGyro.mean...Y" "tBodyGyro.mean...Z" "tBodyGyroJerk.mean...X" "tBodyGyroJerk.mean...Y" "tBodyGyroJerk.mean...Z" "tBodyAccMag.mean.." "tGravityAccMag.mean.." "tBodyAccJerkMag.mean.." "tBodyGyroMag.mean.." "tBodyGyroJerkMag.mean.." "fBodyAcc.mean...X" "fBodyAcc.mean...Y" "fBodyAcc.mean...Z" "fBodyAccJerk.mean...X" "fBodyAccJerk.mean...Y" "fBodyAccJerk.mean...Z" "fBodyGyro.mean...X" "fBodyGyro.mean...Y" "fBodyGyro.mean...Z" "fBodyAccMag.mean.." "fBodyBodyAccJerkMag.mean.." "fBodyBodyGyroMag.mean.." "fBodyBodyGyroJerkMag.mean.." "tBodyAcc.std...X" "tBodyAcc.std...Y" "tBodyAcc.std...Z" "tGravityAcc.std...X" "tGravityAcc.std...Y" "tGravityAcc.std...Z" "tBodyAccJerk.std...X" "tBodyAccJerk.std...Y" "tBodyAccJerk.std...Z" "tBodyGyro.std...X" "tBodyGyro.std...Y" "tBodyGyro.std...Z" "tBodyGyroJerk.std...X" "tBodyGyroJerk.std...Y" "tBodyGyroJerk.std...Z" "tBodyAccMag.std.." "tGravityAccMag.std.." "tBodyAccJerkMag.std.." "tBodyGyroMag.std.." "tBodyGyroJerkMag.std.." "fBodyAcc.std...X" "fBodyAcc.std...Y" "fBodyAcc.std...Z" "fBodyAccJerk.std...X" "fBodyAccJerk.std...Y" "fBodyAccJerk.std...Z" "fBodyGyro.std...X" "fBodyGyro.std...Y" "fBodyGyro.std...Z" "fBodyAccMag.std.." "fBodyBodyAccJerkMag.std.." "fBodyBodyGyroMag.std.." "fBodyBodyGyroJerkMag.std.."
1 "LAYING" 11.079912197 -2.02569767147 -5.660177679 -12.444089914 35.277488673 22.29088599 4.05432671 0.19191020044 0.54171181805 -0.8276546989 -3.2243062044 7.434471813 -5.3635474596 -2.0758643445 -3.702506055 -42.096457625 -42.096457625 -47.71981323 -43.7379774 -48.1730515 -46.95495262 -43.353260259 -44.13334381 -47.85369419 -46.12313049 -47.40304521 -42.5124587293 -47.60957474 -45.46513605 -43.088382405 -46.66501804 -43.10950927 -47.11834733 -46.40282346 -41.841370281 -41.3030700814 -44.84150092 -45.386000338 -42.618314511 -47.9241056 -46.20746368 -47.74275554 -43.677193391 -47.55452201 -45.41423313 -45.93042604 -48.39536218 -47.88950798 -39.757243193 -39.757243193 -46.41228142 -40.950508488 -46.79204914 -46.22187173 -41.681277805 -40.644577972 -48.20803543 -46.61089352 -48.02934936 -44.11482254 -47.56160247 -45.82912541 -39.91504702 -46.09019878 -41.215971984 -46.63303338
1 "SITTING" 12.278165575 -0.06148951963 -4.913576566 39.08096687 9.607344856 15.60605403 3.641678438 -0.0290978309 -0.15828624046 -2.1314526561 -4.320435282 2.957774916 -4.402930894 -1.889955184 -2.195023469 -44.58122895 -44.58122895 -46.40611719 -43.75194703 -46.62288804 -46.04313822 -44.37197387 -45.08168979 -46.37006006 -46.13423495 -46.34449534 -45.87958881 -45.86441351 -44.71183059 -44.54579736 -46.30731996 -45.0464727 -46.52048472 -45.92976339 -43.36307617 -44.16055568 -45.51748585 -43.96930163 -44.60492386 -46.36224343 -46.12448237 -46.43180781 -45.92893031 -45.42427308 -44.24701828 -46.61138483 -46.50734922 -46.4329829 -43.57268568 -43.57268568 -46.25364113 -43.9229965 -46.45051024 -45.89137872 -43.1119253 -43.92006923 -46.41217074 -46.17815375 -46.45194169 -45.96149867 -45.230217 -44.36413853 -43.63690568 -46.13549034 -43.81332362 -46.39133201
1 "STANDING" 14.78263434 -0.8552922755 -5.86189634 49.97645602 -14.46814311 0.7150008631 3.994962674 0.4227137392 -0.195318225996 -1.27134994429 -3.148052712 3.964439803 -5.279288284 -2.335327753 -2.5943789736 -52.16674499 -52.16674499 -52.5954929 -51.75417102 -52.7332399 -52.74824643 -51.78475493 -52.22074623 -52.71543226 -52.22719134 -52.5098648 -52.27849966 -52.41617616 -51.98097551 -52.22388714 -52.60475131 -52.18473404 -52.72521498 -52.77527478 -51.57907299 -51.92812148 -52.66943821 -52.00497577 -51.74517537 -52.71404074 -52.23938282 -52.5893124 -52.32117317 -52.34992532 -51.97421823 -52.62609067 -52.74230962 -52.58174876 -52.04297523 -52.04297523 -52.6340991 -51.87057152 -52.72086165 -52.78950229 -51.53153441 -51.83067476 -52.73890924 -52.31196602 -52.59454036 -52.33734782 -52.31670957 -52.06430249 -52.06263165 -52.60440818 -51.85870182 -52.71756953
1 "WALKING" 26.34642208 -1.6514627601 -10.559069837 88.84620414 -26.80567702 -6.46977208 7.033955165 2.6858504109 -0.3959985869 -3.97394153497 -6.6053543901 8.0697576439 -8.5497665252 -3.7850727399 -4.3824383027 -13.0122617729 -13.0122617729 -13.435736858 -15.293057491 -28.376849513 -19.265459101 8.5227090082 -31.49821119 -16.20196163221 -3.346424790741 -44.55492634 -32.208058726 -9.7906445613 -24.31438933 -12.2192278098 -5.42634300326 -18.9289940537 -30.334316409 -26.95532459 10.873826991 -24.70265071 -92.77791604 -92.27406634 -90.03313648 -10.7934822314 6.365237573 -47.75647991 -44.98587116 -5.18773802265 -32.7053298 -19.705076202 -28.92450851 -38.404268 -20.870421335 -20.870421335 -7.07481625594 -17.76294463 -30.905863495 -30.31779836 5.32380065037 -26.570241392 -12.690727601 10.14028642792 -50.79777684 -49.08573418 -3.1832751799 -41.47341161 -37.81309575 -9.8317782852 -30.49670562 -36.25218162
1 "WALKING_DOWNSTAIRS" 14.1702277 -0.4860067259 -5.2707433545 45.66184653 -13.06390661 -3.0438779711 2.653610508 1.452872003 -0.5376266779 -1.71883132465 -4.455919322 4.41416569595 -3.62400097773 -2.1555236385 -1.3252591992 1.33222627912 1.33222627912 -4.3829265591 -3.711321464 -14.477728324 1.8732299744 0.0759454839600001 -11.053149113 -1.355529513 -6.3046907248 -14.12840205 -17.2700319368 -2.729410371 -1.5616019327 4.7326421809 1.2847062517 -9.1002940015 -13.8162045997 1.471731579071 -1.564861229 -11.291276447 -46.57743077 -45.91391429 -43.90104506 -0.6019091667 -4.9784681414 -16.941016584 -22.443496604 -6.191110552 -6.1104202579 -23.86433977 -11.702416549 -13.1693125319 0.9743331807 0.9743331807 -1.2635982657 -11.060494035 -15.019021631 1.1922111178 -5.5352232577 -14.59846684 -4.23006693537 -6.594420435 -19.68435175 -24.275701819 -8.8893217042 -11.6837347 -9.1399847526 -5.0985607756 -19.519169116 -19.204073954
1 "WALKING_UPSTAIRS" 13.53946955 -1.26951691101 -5.157006111 47.34760817 -19.19412831 -3.996355807 5.3727546859 1.0327743038 -2.4148148803 2.679117127 -8.8070107997 3.0930559591 -6.4783367046 -2.2338751879 -2.15776529657 -6.886164429 -6.886164429 -24.72468265 -6.7169862684 -31.52879185 -21.42905456 -10.121766203 -22.96753421 -25.43338802 -21.91256314 -36.33014076 -26.1084184 -16.93215428 -24.04065229 -18.67698507 -23.46056461 -17.275957242 -33.63724935 -18.79952533 -0.1229740459 -1.0323996589 -50.68745248 -50.50100936 -48.35610875 -23.68272605 -20.04854458 -37.44945714 -28.87816854 0.2175747413 -26.87993977 -32.58368495 -31.88992278 -32.13559612 -17.22345925 -17.22345925 -25.38655597 -7.8768238568 -34.37331135 -17.883694 1.1537840648 4.5556973824 -24.48107237 -20.23418446 -38.48013064 -29.99230201 8.031561995 -30.30051552 -22.06178538 -28.25217225 -9.698232468 -36.77831764
2 "LAYING" 13.50592339 -0.8716195084 -5.1477893 -24.46820343 36.12175869 31.04807422 3.964668056 0.58822984569 -0.0865271499 -0.886877124 -5.36643958 6.954376613 -4.894758442 -1.7212328452 -3.3685585 -46.91690329 -46.91690329 -47.41160141 -45.60055534 -47.60481956 -46.88280287 -47.03044214 -47.25028713 -47.31905428 -47.17287602 -47.33746246 -47.34869484 -47.1994385 -46.2082506 -46.80528943 -47.29795751 -46.66142269 -47.53193771 -46.75485431 -47.05331514 -47.24319825 -46.03269319 -47.43416953 -47.24306007 -47.3218641 -47.19228198 -47.44521669 -47.43721118 -47.14999723 -46.0947149 -47.67532076 -47.49924182 -47.42571942 -46.69794782 -46.69794782 -47.30486766 -46.13587459 -47.50646857 -46.71583114 -47.08920507 -47.27002488 -47.38801228 -47.27939486 -47.48857769 -47.46531292 -47.13170959 -46.23236267 -46.80582662 -47.25928748 -46.13272218 -47.4956477
2 "SITTING" 12.74601818 -0.7216477115 -5.024040533 43.26195456 -4.858981126944 9.141431363 3.323796181 0.53799075209 0.34985158774 -2.091650454 -2.7567192664 1.896476326 -4.307110699 -1.911769334 -2.0049144459 -44.5231067 -44.5231067 -45.3916368 -43.51761401 -45.58974872 -45.34697667 -44.03780093 -44.62745994 -45.44104451 -44.94842633 -45.31593631 -45.20058392 -45.17664249 -44.15148183 -44.21859242 -45.25823615 -44.70466742 -45.53364974 -45.39382486 -43.73240696 -44.1520959 -45.079483 -44.01051256 -43.90313016 -45.45056929 -44.98726195 -45.42583774 -45.34413328 -45.03029824 -44.1509706 -45.52661506 -45.58092228 -45.33494698 -43.84174643 -43.84174643 -45.28588993 -44.22042671 -45.5213663 -45.41865614 -43.70339269 -44.01569175 -45.51511894 -45.11699451 -45.47425699 -45.39319107 -44.95838468 -44.32204235 -43.9564777 -45.26971255 -44.22374428 -45.52311381
2 "STANDING" 15.0072195 -0.9947246589 -5.719060947 48.43414261 -19.98338563 7.006346706 4.036978427 0.55777558389 -0.45206577723 -1.28856892885 -4.430141519 4.7430991556 -5.700356526 -2.281065491 -2.9513131889 -52.15725979 -52.15725979 -52.94641018 -52.02718246 -53.13340283 -53.13312395 -51.83307166 -51.97344457 -52.97255505 -52.42597225 -52.90785821 -52.22000405 -52.51911226 -51.87389559 -52.05881699 -52.76152596 -51.93589886 -52.80389068 -53.31268202 -51.69446942 -51.28605997 -53.28103421 -52.6064987 -51.08006225 -52.97862864 -52.43720974 -53.07343811 -52.54192601 -52.45786781 -52.1022619 -52.88349604 -53.10615196 -52.57494639 -51.72524811 -51.72524811 -52.74046513 -51.51294254 -52.7690391 -53.40904937 -51.72707748 -51.10741351 -53.08242788 -52.57009302 -53.16839488 -52.64935873 -52.43594672 -52.36673197 -51.8680466 -52.65866484 -51.66659119 -52.7987321
2 "WALKING" 16.3091686 -1.09710027496 -6.22452112 53.86802267 -20.44981831 4.99889814 3.64667610805 1.0767068078 0.4658248869 -3.12852312835 -2.84605567 4.887186136 -4.831117232 -3.1759667495 -3.0381410253 -17.13404803 -17.13404803 -16.604025079 -26.34639648 -32.32680507 -20.4168415 -1.2923838096 -26.77457582 -17.97230405 -4.647080936 -32.74244587 -25.35309863 -32.73155462 -23.40293454 -19.133076248 -9.974796816 -31.31158407 -34.41170831 -24.99492747 -4.6073839454 -25.09019397 -57.38889888 -57.3548959 -57.35229801 -16.3742972946 -0.9795319408 -34.57933472 -33.13146509 -31.7687664 -28.38404657 -22.98344006 -37.41428573 -25.69406796 -24.93010599 -24.93010599 -9.6849081225 -32.62817506 -32.91009093 -27.00143164 -9.983961486 -26.85810664 -18.544470741 -0.9046441685 -36.33799312 -35.63912813 -31.4497702 -33.03154147 -34.04920749 -9.6814261975 -38.45577754 -32.92816873
